Result ID,Candidate ID,Question number,Question code,Question type,Variable type,Interaction number,Variable name,Variable interpretation,Variable min. value,Variable max. value,Variable type,Variable cardinality,Variable default value,Variable value,Choice sequence
1027520,142801,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-16,"Multiplicity: Member belongs to * Teams.
(*, 0..* or 1..* accepted).",0,1,float,single,,1,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-17,"Multiplicity: Team has 1..* Members.
(*, 0..*, 1..* accepted).",0,1,float,single,,1,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-18,Association: Member leads Team.,0,1,float,single,,0,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-19,Multiplicity: Member leads 0..* Teams.,0,1,float,single,,0,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-20,Multiplicity: Team is led by 1 Member.,0,1,float,single,,0,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-21,"Association Class: Membership.
This class will sit between Member and Team and will keep track of the role of the Member in the team, the date they joined and when they left the team.
Some students might model this class a Class (not association class), this is accepted.",0,1,float,single,,0,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-22,Class Developer.,0,1,float,single,,1,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-23,Inheritance: Developer inherits from Member.,0,1,float,single,,1,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-24,Class Training.,0,1,float,single,,1,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-25,Association: Developer attends Training.,0,1,float,single,,1,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-26,"Multiplicity: Developer attends * Trainings.
(*, 0..* or 1..* accepted).",0,1,float,single,,1,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-27,"Multiplicity: Training attended by * Developers.
(*, 0..* or 1..* accepted).",0,1,float,single,,1,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-28,Class Resource.,0,1,float,single,,1,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-29,Association: Project requires Resource.,0,1,float,single,,1,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-30,"Multiplicity: Project requires * Resources.
(*, 0..* or 1..* accepted).",0,1,float,single,,1,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-31,"Multiplicity: Resource used by 1 Project.
We don't specify whether resources can be shared or not, so if the student models this as * or 1..*, this is also accepted.",0,1,float,single,,1,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-32,Association: Member allocates Resource.,0,2,float,single,,2,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-33,"Multiplicity: Member allocates * Resources.
(*, 0..* or 1..* accepted).",0,1,float,single,,1,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-34,Multiplicity: Resource is allocated by 1 Member.,0,2,float,single,,2,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-35,Class Resource Type.,0,1,float,single,,1,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-36,Association: Resource belongs to Resource Type.,0,1,float,single,,1,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-37,Multiplicity: Resource belongs to 1 Resource Type.,0,1,float,single,,1,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-38,"Multiplicity: Resource Type has * Resources.
(*, 0..* or 1..* accepted).",0,1,float,single,,1,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,outcome,1,PASSED,,,,boolean,single,0,false,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,outcome,1,MAXSCORE,,,,float,single,40,40,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,template,1,RESPONSE_CORRECTRESPONSE_POINTS,,,,float,single,40,40,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,template,1,RESPONSE-ACTION,,,,float,single,correct,40,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,,0,SCORE,,,,float,single,,36,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,,0,MAX_SCORE,,,,float,single,,40,
1027520,142801,1,System-Design-Class-Diagram-2025,upload,,0,COMPLETION_STATUS,,,,identifier,single,,completed,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,response,1,RESPONSE,,,,file,single,,[REDACTED],[]
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-1,Class Client.,0,1,float,single,,1,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-2,Class Project,0,1,float,single,,1,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-3,Association: Client commissions Project.,0,1,float,single,,1,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-4,Multiplicity: Client commissions 1..* Projects.,0,1,float,single,,1,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-5,Multiplicity: Project is commissioned by 1 Client.,0,1,float,single,,1,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-6,Class Deliverable.,0,1,float,single,,1,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-7,Association: Project has Deliverable.,0,1,float,single,,0,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-8,"Multiplicity: Project has * Deliverables. 
(*, 0..* or 1..* accepted).",0,1,float,single,,0,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-9,Multiplicity: Deliverable belongs to 1 project.,0,1,float,single,,0,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-10,Class Team.,0,1,float,single,,1,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-11,Association: Team works on Project.,0,1,float,single,,0.5,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-12,Multiplicity: Team works on 1..* Projects.,0,1,float,single,,0.5,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-13,Multiplicity: Project is handled by 1 Team.,0,1,float,single,,1,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-14,"Class Member.
Some students will create a class Profile also and link Member to Profile, this is accepted.",0,1,float,single,,1,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-15,Association: Member belongs to Team.,0,1,float,single,,1,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-16,"Multiplicity: Member belongs to * Teams.
(*, 0..* or 1..* accepted).",0,1,float,single,,1,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-17,"Multiplicity: Team has 1..* Members.
(*, 0..*, 1..* accepted).",0,1,float,single,,1,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-18,Association: Member leads Team.,0,1,float,single,,1,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-19,Multiplicity: Member leads 0..* Teams.,0,1,float,single,,0,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-20,Multiplicity: Team is led by 1 Member.,0,1,float,single,,1,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-21,"Association Class: Membership.
This class will sit between Member and Team and will keep track of the role of the Member in the team, the date they joined and when they left the team.
Some students might model this class a Class (not association class), this is accepted.",0,1,float,single,,0.5,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-22,Class Developer.,0,1,float,single,,0,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-23,Inheritance: Developer inherits from Member.,0,1,float,single,,0,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-24,Class Training.,0,1,float,single,,1,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-25,Association: Developer attends Training.,0,1,float,single,,0,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-26,"Multiplicity: Developer attends * Trainings.
(*, 0..* or 1..* accepted).",0,1,float,single,,0.5,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-27,"Multiplicity: Training attended by * Developers.
(*, 0..* or 1..* accepted).",0,1,float,single,,0.5,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-28,Class Resource.,0,1,float,single,,1,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-29,Association: Project requires Resource.,0,1,float,single,,1,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-30,"Multiplicity: Project requires * Resources.
(*, 0..* or 1..* accepted).",0,1,float,single,,1,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-31,"Multiplicity: Resource used by 1 Project.
We don't specify whether resources can be shared or not, so if the student models this as * or 1..*, this is also accepted.",0,1,float,single,,1,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-32,Association: Member allocates Resource.,0,2,float,single,,0,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-33,"Multiplicity: Member allocates * Resources.
(*, 0..* or 1..* accepted).",0,1,float,single,,0,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-34,Multiplicity: Resource is allocated by 1 Member.,0,2,float,single,,0,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-35,Class Resource Type.,0,1,float,single,,0,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-36,Association: Resource belongs to Resource Type.,0,1,float,single,,0,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-37,Multiplicity: Resource belongs to 1 Resource Type.,0,1,float,single,,0,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-38,"Multiplicity: Resource Type has * Resources.
(*, 0..* or 1..* accepted).",0,1,float,single,,0,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,PASSED,,,,boolean,single,0,false,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,outcome,1,MAXSCORE,,,,float,single,40,40,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,template,1,RESPONSE_CORRECTRESPONSE_POINTS,,,,float,single,40,40,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,template,1,RESPONSE-ACTION,,,,float,single,correct,40,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,,0,SCORE,,,,float,single,,21.5,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,,0,MAX_SCORE,,,,float,single,,40,
1027365,154141,1,System-Design-Class-Diagram-2025,upload,,0,COMPLETION_STATUS,,,,identifier,single,,completed,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,response,1,RESPONSE,,,,file,single,,[REDACTED],[]
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-1,Class Client.,0,1,float,single,,1,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-2,Class Project,0,1,float,single,,1,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-3,Association: Client commissions Project.,0,1,float,single,,1,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-4,Multiplicity: Client commissions 1..* Projects.,0,1,float,single,,1,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-5,Multiplicity: Project is commissioned by 1 Client.,0,1,float,single,,1,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-6,Class Deliverable.,0,1,float,single,,1,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-7,Association: Project has Deliverable.,0,1,float,single,,1,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-8,"Multiplicity: Project has * Deliverables. 
(*, 0..* or 1..* accepted).",0,1,float,single,,1,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-9,Multiplicity: Deliverable belongs to 1 project.,0,1,float,single,,1,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-10,Class Team.,0,1,float,single,,1,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-11,Association: Team works on Project.,0,1,float,single,,1,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-12,Multiplicity: Team works on 1..* Projects.,0,1,float,single,,1,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-13,Multiplicity: Project is handled by 1 Team.,0,1,float,single,,1,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-14,"Class Member.
Some students will create a class Profile also and link Member to Profile, this is accepted.",0,1,float,single,,1,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-15,Association: Member belongs to Team.,0,1,float,single,,1,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-16,"Multiplicity: Member belongs to * Teams.
(*, 0..* or 1..* accepted).",0,1,float,single,,1,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-17,"Multiplicity: Team has 1..* Members.
(*, 0..*, 1..* accepted).",0,1,float,single,,1,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-18,Association: Member leads Team.,0,1,float,single,,0,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-19,Multiplicity: Member leads 0..* Teams.,0,1,float,single,,0,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-20,Multiplicity: Team is led by 1 Member.,0,1,float,single,,0,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-21,"Association Class: Membership.
This class will sit between Member and Team and will keep track of the role of the Member in the team, the date they joined and when they left the team.
Some students might model this class a Class (not association class), this is accepted.",0,1,float,single,,0,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-22,Class Developer.,0,1,float,single,,0,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-23,Inheritance: Developer inherits from Member.,0,1,float,single,,0,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-24,Class Training.,0,1,float,single,,1,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-25,Association: Developer attends Training.,0,1,float,single,,0,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-26,"Multiplicity: Developer attends * Trainings.
(*, 0..* or 1..* accepted).",0,1,float,single,,0.5,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-27,"Multiplicity: Training attended by * Developers.
(*, 0..* or 1..* accepted).",0,1,float,single,,0.5,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-28,Class Resource.,0,1,float,single,,1,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-29,Association: Project requires Resource.,0,1,float,single,,1,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-30,"Multiplicity: Project requires * Resources.
(*, 0..* or 1..* accepted).",0,1,float,single,,1,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-31,"Multiplicity: Resource used by 1 Project.
We don't specify whether resources can be shared or not, so if the student models this as * or 1..*, this is also accepted.",0,1,float,single,,1,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-32,Association: Member allocates Resource.,0,2,float,single,,2,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-33,"Multiplicity: Member allocates * Resources.
(*, 0..* or 1..* accepted).",0,1,float,single,,0,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-34,Multiplicity: Resource is allocated by 1 Member.,0,2,float,single,,0,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-35,Class Resource Type.,0,1,float,single,,0,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-36,Association: Resource belongs to Resource Type.,0,1,float,single,,0,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-37,Multiplicity: Resource belongs to 1 Resource Type.,0,1,float,single,,0,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-38,"Multiplicity: Resource Type has * Resources.
(*, 0..* or 1..* accepted).",0,1,float,single,,0,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,PASSED,,,,boolean,single,0,false,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,outcome,1,MAXSCORE,,,,float,single,40,40,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,template,1,RESPONSE_CORRECTRESPONSE_POINTS,,,,float,single,40,40,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,template,1,RESPONSE-ACTION,,,,float,single,correct,40,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,,0,SCORE,,,,float,single,,25,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,,0,MAX_SCORE,,,,float,single,,40,
1027364,154153,1,System-Design-Class-Diagram-2025,upload,,0,COMPLETION_STATUS,,,,identifier,single,,completed,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,response,1,RESPONSE,,,,file,single,,[REDACTED],[]
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-1,Class Client.,0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-2,Class Project,0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-3,Association: Client commissions Project.,0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-4,Multiplicity: Client commissions 1..* Projects.,0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-5,Multiplicity: Project is commissioned by 1 Client.,0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-6,Class Deliverable.,0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-7,Association: Project has Deliverable.,0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-8,"Multiplicity: Project has * Deliverables. 
(*, 0..* or 1..* accepted).",0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-9,Multiplicity: Deliverable belongs to 1 project.,0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-10,Class Team.,0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-11,Association: Team works on Project.,0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-12,Multiplicity: Team works on 1..* Projects.,0,1,float,single,,0,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-13,Multiplicity: Project is handled by 1 Team.,0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-14,"Class Member.
Some students will create a class Profile also and link Member to Profile, this is accepted.",0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-15,Association: Member belongs to Team.,0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-16,"Multiplicity: Member belongs to * Teams.
(*, 0..* or 1..* accepted).",0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-17,"Multiplicity: Team has 1..* Members.
(*, 0..*, 1..* accepted).",0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-18,Association: Member leads Team.,0,1,float,single,,0,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-19,Multiplicity: Member leads 0..* Teams.,0,1,float,single,,0,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-20,Multiplicity: Team is led by 1 Member.,0,1,float,single,,0,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-21,"Association Class: Membership.
This class will sit between Member and Team and will keep track of the role of the Member in the team, the date they joined and when they left the team.
Some students might model this class a Class (not association class), this is accepted.",0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-22,Class Developer.,0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-23,Inheritance: Developer inherits from Member.,0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-24,Class Training.,0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-25,Association: Developer attends Training.,0,1,float,single,,0,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-26,"Multiplicity: Developer attends * Trainings.
(*, 0..* or 1..* accepted).",0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-27,"Multiplicity: Training attended by * Developers.
(*, 0..* or 1..* accepted).",0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-28,Class Resource.,0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-29,Association: Project requires Resource.,0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-30,"Multiplicity: Project requires * Resources.
(*, 0..* or 1..* accepted).",0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-31,"Multiplicity: Resource used by 1 Project.
We don't specify whether resources can be shared or not, so if the student models this as * or 1..*, this is also accepted.",0,1,float,single,,0,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-32,Association: Member allocates Resource.,0,2,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-33,"Multiplicity: Member allocates * Resources.
(*, 0..* or 1..* accepted).",0,1,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-34,Multiplicity: Resource is allocated by 1 Member.,0,2,float,single,,1,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-35,Class Resource Type.,0,1,float,single,,0,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-36,Association: Resource belongs to Resource Type.,0,1,float,single,,0,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-37,Multiplicity: Resource belongs to 1 Resource Type.,0,1,float,single,,0,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-38,"Multiplicity: Resource Type has * Resources.
(*, 0..* or 1..* accepted).",0,1,float,single,,0,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,PASSED,,,,boolean,single,0,false,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,outcome,1,MAXSCORE,,,,float,single,40,40,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,template,1,RESPONSE_CORRECTRESPONSE_POINTS,,,,float,single,40,40,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,template,1,RESPONSE-ACTION,,,,float,single,correct,40,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,,0,SCORE,,,,float,single,,28,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,,0,MAX_SCORE,,,,float,single,,40,
1027603,142923,1,System-Design-Class-Diagram-2025,upload,,0,COMPLETION_STATUS,,,,identifier,single,,completed,
1027623,154686,1,System-Design-Class-Diagram-2025,upload,response,1,RESPONSE,,,,file,single,,[REDACTED],[]
1027623,154686,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-1,Class Client.,0,1,float,single,,1,
1027623,154686,1,System-Design-Class-Diagram-2025,upload,outcome,1,SUBSCORE-2,Class Project,0,1,float,single,,1,
